"subject","type","item","condition","question","correct_answer","response","rt","group_G","ambiguity_G","ambiguity","group"
"Native 1","gp",14,"b","0","-","-",3384,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",3,"c","0","-","-",4156,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",4,"d","0","-","-",3489,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",7,"c","0","-","-",5264,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",9,"a","0","-","-",5412,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",6,"b","0","-","-",3704,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",5,"a","0","-","-",6646,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",20,"d","0","-","-",6440,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",19,"c","0","-","-",3546,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",17,"a","0","-","-",4075,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",2,"b","0","-","-",3114,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",12,"d","0","-","-",4900,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",18,"b","0","-","-",4411,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",1,"a","0","-","-",3168,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",10,"b","0","-","-",4849,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",11,"c","0","-","-",3770,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",13,"a","0","-","-",7652,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",24,"d","0","-","-",5284,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",16,"d","0","-","-",7749,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",21,"a","0","-","-",7780,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",22,"b","0","-","-",5617,"Native","Unambiguous",-0.5,-0.5
"Native 1","gp",15,"c","0","-","-",9105,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",23,"c","0","-","-",4358,"Native","Ambiguous",0.5,-0.5
"Native 1","gp",8,"d","0","-","-",3081,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",16,"a","0","-","-",7234,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",17,"b","0","-","-",4808,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",4,"a","0","-","-",7346,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",15,"d","0","-","-",3568,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",2,"c","0","-","-",4187,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",10,"c","0","-","-",5184,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",6,"c","0","-","-",9151,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",19,"d","0","-","-",7389,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",20,"a","0","-","-",5120,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",14,"c","0","-","-",15480,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",8,"a","0","-","-",6755,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",1,"b","0","-","-",2699,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",12,"a","0","-","-",3499,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",24,"a","0","-","-",4612,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",3,"d","0","-","-",4289,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",23,"d","0","-","-",4385,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",9,"b","0","-","-",2218,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",5,"b","0","-","-",5668,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",11,"d","0","-","-",2194,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",21,"b","0","-","-",2691,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",18,"c","0","-","-",4779,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",22,"c","0","-","-",6143,"Native","Ambiguous",0.5,-0.5
"Native 2","gp",13,"b","0","-","-",4196,"Native","Unambiguous",-0.5,-0.5
"Native 2","gp",7,"d","0","-","-",5453,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",4,"b","0","-","-",7373,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",20,"b","0","-","-",5470,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",12,"b","0","-","-",7412,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",18,"d","0","-","-",5686,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",22,"d","0","-","-",9656,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",9,"c","0","-","-",12911,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",6,"d","0","-","-",5195,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",13,"c","0","-","-",19741,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",24,"b","0","-","-",4475,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",15,"a","0","-","-",11292,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",23,"a","0","-","-",10354,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",1,"c","0","-","-",11076,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",14,"d","0","-","-",7494,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",7,"a","0","-","-",10055,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",16,"b","0","-","-",5230,"Native","Unambiguous",-0.5,-0.5
"Native 3","gp",11,"a","0","-","-",11376,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",21,"c","0","-","-",6568,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",19,"a","0","-","-",14297,"Native","Ambiguous",0.5,-0.5
"Native 3","gp",5,"c","0","-","-",8437,"Native","Ambiguous",0.5,-0.5
