"controller","condition","item","response","response_time","subject","group_G","ambiguity_G","question_type_G","ambiguity","question_type","group"
"PictureAccept","exp1-3","3",0,3270,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-3","19",0,1533,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-4","20",1,1283,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-4","12",1,1395,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-2","10",1,1728,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-3","23",0,2434,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-2","22",1,2782,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-4","8",1,1494,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","5",0,2760,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-1","21",1,3880,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-3","7",0,2566,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-1","17",0,1833,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-1","1",1,2450,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-3","11",0,2690,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-4","4",1,1512,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-2","6",1,1388,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-2","14",1,2698,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-3","15",1,1113,"Native 1","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-2","18",1,1640,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-4","16",1,1463,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","13",1,2941,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-4","24",1,1577,"Native 1","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","9",1,1254,"Native 1","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-2","2",1,1314,"Native 1","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-1","24",1,4604,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-3","22",1,1523,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-3","6",1,2240,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-3","14",1,1744,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-3","18",1,1486,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-2","9",1,5216,"Native 2","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-3","10",1,1155,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-1","16",1,1685,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-4","15",1,1083,"Native 2","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-2","21",1,3351,"Native 2","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-3","2",1,1024,"Native 2","Native","Ambiguous","Main_Clause_Question",0.5,0.5,-0.5
"PictureAccept","exp1-1","4",1,2731,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-4","3",1,1501,"Native 2","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-4","7",1,1051,"Native 2","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","12",1,2212,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-4","19",1,1154,"Native 2","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","8",1,3036,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
"PictureAccept","exp1-2","1",1,2800,"Native 2","Native","Unambiguous","Subordinate_Clause_Question",-0.5,-0.5,-0.5
"PictureAccept","exp1-4","23",1,10534,"Native 2","Native","Unambiguous","Main_Clause_Question",-0.5,0.5,-0.5
"PictureAccept","exp1-1","20",1,1305,"Native 2","Native","Ambiguous","Subordinate_Clause_Question",0.5,-0.5,-0.5
