"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-3","3",4010,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","19",8044,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","20",3575,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","12",5142,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","10",3670,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","23",8605,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","22",4219,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","8",4068,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","5",6298,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","21",8123,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","7",7897,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","17",6846,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","1",5631,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","11",10607,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","4",6156,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","6",4153,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","14",6799,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","15",6571,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","18",3597,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","16",4939,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","13",3375,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","24",3289,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","9",5404,"False","Native 1","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","2",2768,"False","Native 1","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","24",8092,"False","Native 2","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","22",6060,"False","Native 2","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","6",3592,"False","Native 2","Native","Ambiguous",0.5,-0.5
