"subject","item","region","measure","condition","rawdata","group_G","region_G","trial","sort","skips","reading_time","ambiguity_G","continuation_G","ambiguity_continuation_G","ambiguity","continuation","group"
"Native 1",6,-0.5,"fp",2,407,"Native","disambiguation","Native 1 6","disambiguation/fp",0,407,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 1",1,-0.5,"fp",1,159,"Native","disambiguation","Native 1 1","disambiguation/fp",0,159,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 1",16,-0.5,"fp",4,415,"Native","disambiguation","Native 1 16","disambiguation/fp",0,415,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 1",13,-0.5,"fp",1,547,"Native","disambiguation","Native 1 13","disambiguation/fp",0,547,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 1",3,-0.5,"fp",3,186,"Native","disambiguation","Native 1 3","disambiguation/fp",0,186,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 1",10,-0.5,"fp",2,211,"Native","disambiguation","Native 1 10","disambiguation/fp",0,211,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 1",7,-0.5,"fp",3,362,"Native","disambiguation","Native 1 7","disambiguation/fp",0,362,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 1",20,-0.5,"fp",4,0,"Native","disambiguation","Native 1 20","disambiguation/fp",1,NA,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 1",4,-0.5,"fp",4,158,"Native","disambiguation","Native 1 4","disambiguation/fp",0,158,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 1",8,-0.5,"fp",4,384,"Native","disambiguation","Native 1 8","disambiguation/fp",0,384,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 1",15,-0.5,"fp",3,277,"Native","disambiguation","Native 1 15","disambiguation/fp",0,277,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
